bench,run,prover_time,prover_from_start_s,verifier_time,verifier_from_start_s,peak_vsize_mib,proof_size_bits,verification_result
"aha-mont64","1","3.1046","35.9385","0.0012","35.9397","5058","1019","PASS"
"aha-mont64","2","3.0550","37.0961","0.0012","37.0974","5058","1019","PASS"
"aha-mont64","3","3.1445","37.7802","0.0013","37.7816","5058","1019","PASS"
"aha-mont64","4","3.2854","38.2184","0.0013","38.2198","5058","1019","PASS"
"aha-mont64","5","3.1907","38.2806","0.0012","38.2819","5058","1019","PASS"
"crc32","1","3.4389","38.7823","0.0014","38.7838","5058","1019","PASS"
"crc32","2","3.2347","39.3543","0.0013","39.3557","5058","1019","PASS"
"crc32","3","3.2562","38.3416","0.0013","38.3429","5058","1019","PASS"
"crc32","4","3.5131","38.5993","0.0013","38.6006","5058","1019","PASS"
"crc32","5","3.1814","40.0126","0.0015","40.0142","5058","1019","PASS"
"cubic","1","3.1642","39.4458","0.0012","39.4471","5058","1019","PASS"
"cubic","2","3.4287","39.2349","0.0014","39.2363","5058","1019","PASS"
"cubic","3","3.2438","38.5471","0.0012","38.5483","5058","1019","PASS"
"cubic","4","3.2976","38.4826","0.0012","38.4839","5058","1019","PASS"
"cubic","5","3.5153","38.8249","0.0012","38.8262","5058","1019","PASS"
"edn","1","3.1838","39.1856","0.0012","39.1868","5058","1019","PASS"
"edn","2","3.3480","38.7187","0.0013","38.7202","5058","1019","PASS"
"edn","3","3.4078","39.4805","0.0013","39.4818","5058","1019","PASS"
"edn","4","3.2196","38.4329","0.0013","38.4342","5058","1019","PASS"
"edn","5","3.2986","38.5928","0.0012","38.5941","5058","1019","PASS"
"matmult-int","1","3.0839","36.1982","0.0013","36.1995","5058","1019","PASS"
"matmult-int","2","3.0777","37.1684","0.0012","37.1696","5058","1019","PASS"
"matmult-int","3","3.1169","38.4051","0.0012","38.4063","5058","1019","PASS"
"matmult-int","4","3.0469","38.6424","0.0012","38.6437","5058","1019","PASS"
"matmult-int","5","3.1971","37.7521","0.0012","37.7534","5058","1019","PASS"
"nbody","1","3.0552","38.3253","0.0012","38.3267","5058","1019","PASS"
"nbody","2","3.0573","37.6964","0.0012","37.6977","5058","1019","PASS"
"nbody","3","3.1524","38.5941","0.0012","38.5954","5058","1019","PASS"
"nbody","4","3.1622","37.7496","0.0013","37.7509","5058","1019","PASS"
"nbody","5","3.2028","38.0733","0.0013","38.0746","5058","1019","PASS"
"nsichneu","1","7.0455","131.8955","0.0012","131.8967","13067","1019","PASS"
"nsichneu","2","6.8754","132.8627","0.0011","132.8638","13067","1019","PASS"
"nsichneu","3","6.9890","130.7906","0.0012","130.7918","13067","1019","PASS"
"nsichneu","4","7.1878","130.0271","0.0012","130.0283","13067","1019","PASS"
"nsichneu","5","6.9468","129.5135","0.0013","129.5148","13067","1019","PASS"
"slre","1","6.7554","129.3592","0.0011","129.3604","13067","1019","PASS"
"slre","2","6.8892","132.8300","0.0011","132.8312","13067","1019","PASS"
"slre","3","6.7871","133.0685","0.0012","133.0697","13067","1019","PASS"
"slre","4","6.8284","130.1335","0.0013","130.1348","13067","1019","PASS"
"slre","5","6.9595","129.8287","0.0012","129.8300","13067","1019","PASS"
"statemate","1","3.2232","38.8533","0.0013","38.8546","5058","1019","PASS"
"statemate","2","3.0198","39.3142","0.0012","39.3154","5058","1019","PASS"
"statemate","3","3.0998","38.3677","0.0012","38.3689","5058","1019","PASS"
"statemate","4","3.0900","38.4192","0.0012","38.4205","5058","1019","PASS"
"statemate","5","3.2065","38.6911","0.0012","38.6923","5058","1019","PASS"
"ud","1","3.0666","37.7653","0.0013","37.7666","5058","1019","PASS"
"ud","2","3.1647","38.8346","0.0013","38.8359","5058","1019","PASS"
"ud","3","3.1398","37.8931","0.0012","37.8944","5058","1019","PASS"
"ud","4","3.1543","38.0419","0.0012","38.0432","5058","1019","PASS"
"ud","5","3.1311","39.0033","0.0012","39.0046","5058","1019","PASS"
